feature,importance
fossil_ratio,0.8089207670637775
Coal_pct,0.05899086953944718
Gas_pct,0.04896162347579889
Oil_pct,0.02004587931088838
Hydro_pct,0.013771966823935807
renewable_ratio,0.011153696783490936
Solar_pct,0.01023688405773814
Wind_pct,0.006247496535065433
total_capacity_mw,0.005825875457884354
num_plants,0.005417856309727516
Waste_pct,0.0036423243328883703
Biomass_pct,0.002979048966358337
Nuclear_pct,0.002185906455531444
Geothermal_pct,0.001107216937460567
Other_pct,0.00030384380989676335
Petcoke_pct,0.0001294228240603759
Wave and Tidal_pct,7.747957990260916e-05
Storage_pct,1.8355846387698547e-06
Cogeneration_pct,6.151508658520466e-09
