country,carbon_intensity_gco2_kwh
AFG,109.58317853049287
AGO,103.88873138457208
ALB,64.55421930668996
ARE,484.0886122347094
ARG,443.7170660158852
ARM,372.684201711419
ATA,575.200668896321
AUS,599.3199726691987
AUT,105.30817000079507
AZE,451.9399101737223
BDI,26.550151975683885
BEL,161.23209688308862
BEN,539.2872485842609
BFA,471.73362404071366
BGD,506.4925689627104
BGR,438.5120273822419
BHR,489.9120980660644
BIH,508.0946451742541
BLR,485.5027163160324
BOL,400.7031471196777
BRA,150.47684001808878
BRN,490.0000000000001
BTN,24.0
BWA,820.0000000000001
CAF,297.76047320141635
CAN,160.25578928542117
CHE,18.98769266657922
CHL,412.0782615979951
CHN,636.0140540328011
CIV,281.31353825538656
CMR,170.64984254243234
COD,24.291285070577313
COG,380.4557178382074
COL,216.57188205166625
CPV,629.2380387393761
CRI,30.24240646347479
CUB,625.2784077796485
CYP,536.6184282630819
CZE,447.4077687794865
DEU,528.0824345327086
DJI,650.0
DNK,578.5515274374276
DOM,572.809403378519
DZA,481.8531848426507
ECU,135.0080234528192
EGY,445.466372303023
ERI,650.0000000000001
ESH,650.0
ESP,315.87643371326504
EST,113.9801195201933
ETH,23.541386756925615
FIN,167.0104810073497
FJI,238.0553257641391
FRA,65.49366436605297
GAB,217.1729541694252
GBR,284.0906904697038
GEO,228.566376176219
GHA,213.75623874621007
GIN,141.0225653176381
GMB,650.0000000000001
GNB,650.0
GNQ,204.55320629948667
GRC,574.8336384561778
GTM,312.6769862221367
GUF,312.8213858336542
GUY,540.4728789986091
HND,298.7540904806443
HRV,295.67941311975056
HUN,297.5312995011783
IDN,668.0897467207692
IND,651.2267828811605
IRL,463.28504359078056
IRN,450.85198007297566
IRQ,516.7932273180056
ISL,29.493843352156915
ISR,571.3012170846346
ITA,481.3906146947136
JAM,566.8191325722443
JOR,471.5253219553126
JPN,396.5425662591925
KAZ,753.8000344613259
KEN,94.57803817647306
KGZ,118.52257658912885
KHM,465.2349636300515
KOR,505.8196845768433
KOS,820.0000000000001
KWT,489.8753956190548
LAO,387.14784099114
LBN,649.9999999999999
LBR,133.95910946006455
LBY,495.5326663031691
LCA,48.0
LKA,511.1974579440215
LSO,24.0
LTU,128.20878366413683
LUX,109.24072015018574
LVA,207.12342692596545
MAR,587.6642780955128
MDA,427.67586953196263
MDG,546.9162477221731
MEX,436.5591117136464
MKD,629.4704755381968
MLI,24.000000000000004
MMR,223.70443450079745
MNE,548.0564459930315
MNG,786.7967684673001
MOZ,24.0
MRT,484.9945927090006
MUS,611.8648765629429
MWI,48.44554401871014
MYS,661.1507531546964
NAM,66.85385149824066
NER,715.528523130911
NGA,293.63867090764506
NIC,401.75514324365184
NLD,550.9591318289936
NOR,39.74766311127449
NPL,24.739452362312417
NZL,106.4785678489762
OMN,444.7218754302352
PAK,371.5682851592154
PAN,192.68203745470387
PER,361.2892668966588
PHL,572.7503180665971
PNG,316.8163193269594
POL,730.9554335614376
PRK,254.07153521244723
PRT,413.6606198895795
PRY,24.0
PSE,48.0
QAT,489.99999999999994
ROU,341.0484873923896
RUS,373.42378022944376
RWA,185.85919610381984
SAU,551.5612628325729
SDN,187.06931099902823
SEN,480.8286095352156
SGP,491.6576469826044
SLE,379.3944665447243
SLV,156.8765546343784
SRB,644.2117576424909
SUR,48.0
SVK,140.90768265374908
SVN,353.6816947908456
SWE,28.06672015065839
SWZ,133.35823485662343
SYR,537.7104187497249
TGO,188.2077671006994
THA,519.249261853878
TJK,93.71719163250376
TKM,490.0
TTO,499.1614017964308
TUN,483.18009012446544
TUR,510.2253375116694
TWN,579.138473953127
TZA,260.23930497871487
UGA,66.74722652241222
UKR,296.42008715930757
URY,87.50399841707348
USA,398.49325404415174
UZB,459.5558148485406
VEN,167.0165710446237
VNM,499.34543149393824
YEM,568.9082865213566
ZAF,731.1350612871923
ZMB,186.9027600092543
ZWE,352.6623950757115
